,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
54,0001104659-15-029079,INTERNATIONAL,20150421,2015-04-21,8-K,break challenge closed collapse concern conciliation corrected critical cut decline declined declines declining divest divested divestiture divestitures easing fined force fraud ill imperative lapse late lie litigation lose losing loss mislabel mislabeled miss plea pleas pled question questions quit sever slow slowdown weak weakness,almost assume assumed assuming believe could differ imprecise may nearly pending probably risk somewhat somewhere tending,able achieve adequately benefit benefitted best better collaboration encourages gain gains good great greater highest improve improved improvement improves improving innovate innovation innovations invent leading opportunities opportunity positive profitability profitable progress satisfy strength strengthen strengths strong stronger success successful successfully tremendous win
55,0001104659-18-071763,INTERNATIONAL,20181207,2018-12-07,8-K,break closing collapse critical cut declining divest divested easing fined ill lapse lie lose losing loss lying miss plea pleas pled,approximate approximately believe differ revise revised,able attractive attractiveness collaboration confident enable encourages enhance gain good great improve improved improves innovation innovative leading opportunities opportunity satisfaction satisfy strong success tremendous win
56,0001104659-19-017850,INTERNATIONAL,20190327,2019-03-27,8-K,break closing collapse critical cut divest divested easing fined ill lapse late lie losing lying miss reparation,pending revise revised,able better effective enabling encourages improve innovative invent invention leadership satisfy transparency win
57,0001104659-18-064384,INTERNATIONAL,20181029,2018-10-29,8-K,absence acquiesce adverse adversely against allege alleged alleges alleging bad bankrupt bankruptcy breach breached breaches breaching break breakage bribe bribery bridge calamity cancel canceled caution cautionary cease challenging claiming claims closed closing closure closures collapse complain complaint concern condemn condemnation conflict conflicts contested contrary corrupt corruption corruptly counterclaim cut damage damages decline declines deface defaced default defaults defend defending defer delay delayed delaying delays delinquent delist delisting destroy destroyed deter difficult difficulties disaster disasters disclose disclosed disclosing disparage disparagement dispose disproportion disproportionate disproportionately dispute disputes disqualified disqualify disregard disregarding disrupt disruption dissolution diversion divest divesting divestiture divestitures doubt easing embargo embargoes encumber encumbered encumbrance encumbrances enjoin erred error escalate exculpation fail failed failing fails failure failures fault faults fined force forced forego forfeit forfeiture fraud fraudulent harm ill illegal illegality impair impede impeded impeding improper inaccuracies inaccuracy incapable incident inconsistent inconvenient incorrect inequitable infringe infringed infringement infringing injunction injunctions inquiry insolvency intentional interfere invalid invalidate invalidity investigation investigations involuntary irreparable jeopardize kickback kickbacks knowingly lack lacks lapse lapsed late laundering lie limitation limitations liquidate liquidated liquidation litigation lockout lockouts lose loses losing loss losses lost lying misappropriation misconduct mislead misleading miss monopolization moratorium negative negligence noncompliance nonpayment objection omission omissions omit omitted onerous oppose opposed overage overdue overturn overturned penalties penalty plaintiff plea plead pleading pleadings pleas pled poses posing postpone postponed postponement postponements postpones preclude prejudicial prevention prevents prosecution punishment punitive purport purported question questions quit redact redacted redaction refusal refuse relinquish reparation resign resignation restate restated revocation revoke revoked sever slow slowdown slowdowns solvency standstill stolen stoppage stoppages strain straining sue sued sues suffer suffered suing summons taint terminate terminated terminating termination terminations threat threaten threatened threats unable unauthorized unavailability undue unemployment unexpected unfair unfunded unlawful unreasonably unresolved violate violated violating violation violations,anticipate anticipated apparent assume assumed assumes assuming assumption assumptions believe believed conditional conditionally contingencies contingent could depend dependent differ doubt fluctuation fluctuations intangible may might nonassessable pending possible predict prediction predictions predictive preliminary probable revise revised risk risks tending uncertain uncertainties unexpected unsettled unwritten,able accomplish achieve achieved achievement achieving advancement advances advantage attain attainment beneficial benefit best better collaboration confident desirable effective empower empowered enable enabling encourages enhance enhanced exclusive exclusively exclusivity favorable favored gain gaining gains good great greater highest honor invent invention inventions inventor leading opportunities opportunity perfect pleased resolve satisfaction satisfactory satisfied satisfies satisfy satisfying solves success successful win
58,0001104659-19-022020,INTERNATIONAL,20190417,2019-04-17,8-K,break bridge closed closing closure collapse concern concerns conciliation conciliations critical cut decline declined declines deter divest divested divesting divestiture divestitures easing fined force forego foregone hurt ill lapse late lie lose losing lying miss plea pleas pled poses question questions reparation sever sue sues suspend threat threats weak weaker,assume assumes could depend dependent differ may nearly pending predict predictability revise revised risk roughly,able achieve benefit better collaboration effective efficiencies efficiency enable enables enabling encourages enhance gain gains good ideal improve improved improvement improvements improving innovation innovations innovative invent invention inventions leading opportunities opportunity satisfy strength strengthen strong stronger success successful transparency win
59,0001104659-17-064652,INTERNATIONAL,20171030,2017-10-30,8-K,absence against allege alleged break catastrophe cease ceased ceases closed collapse concern confine confined contested contrary criminal cut destroy destroyed destruction deter disaster disclose disclosed dispose dissent erred fail failure fined fines force forego ill inability incapable incapacity incident inconsistent lapse late lie limitation limitations lose loss lost lying miss omission omissions pled poses question refuse reject rejecting resign resignation resigned restate restated restatement restatements sever sue sued sues terminate termination threat threaten threatened unable unavailable,appear appearing depend dependent indeterminate may might revise revised tending,able advances beneficial beneficially benefit best delight delighted desired effective efficient empower empowered enable encourages enhance enhances gain gains good leadership leading satisfy strong succeed succeeding success successful successfully valuable win
60,0001104659-18-062295,INTERNATIONAL,20181016,2018-10-16,8-K,adverse against break challenging closed closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut damage decline declines deter disclose disclosed discontinue discontinued downturn easing erred fail failure fined fines ill imperative inconsistent ineffective insolvency lack lapse late lie lose loss losses lying miss plea pleas poses quit restructuring sever solvency sue sues taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may pending revise revised risk risks uncertain uncertainties,able alliance alliances benefit better effective efficiencies efficiency enable enables encourages gain gains great greater improve improved improves improving innovation innovations innovative leadership opportunities progress satisfy strength strengthen strengthens strong strongest success successful successfully transparency win
61,0001104659-18-046041,INTERNATIONAL,20180719,2018-07-19,8-K,break challenge challenges closure collapse concern conciliation conciliations critical cut decline declines fined ill imperative lapse late lie losing lying miss pervasive plea pleas pled poses question questions sever volatility,could differ may nearly revise revised volatility,able attain attainment benefit best better collaboration despite efficiencies efficient enable enables encourages enhance enhanced gain gained good improve improved improvement innovation innovative leadership leading progress progressing satisfy strength strengthen strengthening strengthens strong success win winning
62,0001104659-18-001849,INTERNATIONAL,20180111,2018-01-11,8-K,break closed collapse cut disclose disclosed fined ill lapse lie lose lying miss,revise revised,able effective encourages satisfy win
63,0000950157-14-001202,INTERNATIONAL,20141105,2014-11-05,8-K,absence adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cease claims closed closure conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred error fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed postponement question questions quit refusal reparation sever solvency sue sued suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable,appear appears approximate approximately assume assumed believe conditional depend dependent differ may pending possible preliminary sometime sometimes varied vary,able adequately benefit best charitable conclusive effective enable enabling gain gains good leading satisfactory satisfied satisfy succeed success win
64,0001104659-19-005101,INTERNATIONAL,20190201,2019-02-01,8-K,break closing collapse cut fined ill lack lapse lie losing lying miss quit,revise revised,able encourages satisfy win
65,0001104659-16-109000,INTERNATIONAL,20160331,2016-03-31,8-K,break collapse critical cut ill imperative lapse late lie lose lying miss reparation sever,may,able better effective encourages opportunity progress satisfy transparency win
66,0001104659-18-015787,INTERNATIONAL,20180308,2018-03-08,8-K,break claims closed closure collapse concern conciliation conciliations critical cut deter disclose disclosed divest divested divestiture divestitures fined force ill incident incidents lack lapse late lie lose lying miss pervasive plea pleas poses quit sever threat,assume assumes assumption assumptions believe believes could differ fluctuation fluctuations may pending predict revise revised uncertain,able advantage attractive efficiencies enable enables encourages improve innovation innovative invent invention leadership leading profitable resolve satisfy strength strengthen strong win
67,0001104659-18-072287,INTERNATIONAL,20181211,2018-12-11,8-K,break collapse cut fined ill impair impairment lack lapse lie lying miss,revise revised,able effective encourages excited great improve satisfy win
68,0000950157-15-001278,INTERNATIONAL,20151106,2015-11-06,8-K,adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cease claims closed closure collapse conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack lapse late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed question questions quit refusal reparation sever solvency sue sued sues suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable,appear appearing assume assumed assuming believe conditional depend dependent differ may pending possible preliminary sometime sometimes varied vary,able adequately benefit best charitable conclusive effective enable enabling gain gains good great greater highest leading satisfaction satisfactory satisfied satisfy succeed succeeding success win
69,0001104659-18-046283,INTERNATIONAL,20180720,2018-07-20,8-K,absence acquiesce adverse adversely against allegation allegations allege alleged arrears bankrupt bankruptcy breach break breakage bribe bribery bridge cancel cancellation cancelled cease ceases claiming claims closed closing closure collapse concern concerned conflict contested contrary corrupt corruption counterclaim cut damage damages default defect defer delay delayed delinquent deter disadvantage disavow disclose disclosed disclosing discontinuation discontinue discontinuing dismiss dismissed dispute disputed dissolution divest divestiture divestitures doubt easing embargo embargoes encumbrance erred erring error fail failed failing fails failure failures fault fined force forced forcing forego fraud fraudulent harm ill impair impracticable inability incident inconsistency inconsistent inconvenient incorrect ineffective injunction inquiry insolvency insolvent interfere invalid invalidate invalidating invalidity investigate investigated investigation involuntarily involuntary irregular irregularities lack lapse lapsed late laundering lie limitation limitations liquidation liquidator litigation lose losing loss losses lying malpractice misconduct mislead misleading miss missed misstate misstatement mistake moratorium negligence noncompliance nonpayment objection obsolete omission omissions omit omitted onerous oppose opposed overage overdue penalties penalty plea plead pleas pled poses posing postpone preclude prosecute prosecuted protest punitive purport purporting purports question questions quit refusing reject rejection reparation repossession repudiate resign resignation restate restated restatement restates restructuring revoke revoked sever solvency sue sued suffer suffered suing terminate terminated terminating termination terminations threat threaten threatened threatening unable unauthorized unavailable unemployment unlawful unpaid unreasonably unremedied unsatisfied violate violation voiding,ambiguity appear appearing approximate approximately arbitrary assume assumed assumes assuming assumption believe believed conditional conditionally contingency contingent could depend dependent differ doubt exposure indefinite indefinitely intangible may might nearly ordinarily pending possible presume presumed probable recalculate recalculated revise revised risk risks tending unknown variation,able achieve achieved adequately advances advantage advantageous beneficial benefit benefitted best better conclusive conclusively confident desired effective efficient enhance enhancement exceptional exclusive exemplary favorable gain gains good great greater greatest highest improve improvement improvements leading perfect perfected positive satisfaction satisfactory satisfied satisfies satisfy succeed succeeding success win
70,0001104659-19-021671,INTERNATIONAL,20190416,2019-04-16,8-K,adverse against break challenge challenges closed closing closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut damage decline declines deter disclose disclosed discontinue discontinued divest divested downturn easing erred fail failure fined fines force ill inconsistent ineffective insolvency lack lapse late lie lose losing loss losses lying miss plea pleas pled poses quit restructuring solvency sue sues taint weak weaken weakens weakness,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may pending revise revised risk risks uncertain uncertainties,able achieve alliance alliances benefit better effective efficiency enable enabled enables encourages gain gains great greater improve improvement improvements improves innovation innovative invent invention opportunities profitability satisfy strength strengthen strengthens strong success successful successfully transparency win
71,0001104659-15-003681,INTERNATIONAL,20150121,2015-01-21,8-K,break challenge challenges challenging closed collapse concern conciliation critical cut decline declined declines defer divest divested divesting divestiture divestitures exploit exploits force forced fraud ill imperative inconsistent lapse late lie lose losing loss lost miss plea pleas pled question questions quit recall restructuring sever slow slowdown sue sues threat threats unfavorable weak weaker weakness,almost anticipate anticipated assume assumed assuming assumption believe could depend differ may might nearly pending roughly sometime sometimes suggest suggested varied,able achieving attractive benefit best better collaboration despite effective enable enables enabling encourages enhance enhanced favorable gain gains good great greater improve improved improvement improvements improving innovate innovation innovations leadership leading opportunities opportunity pleased profitability profitable progress satisfy stability stabilization stabilize stabilized stable strength strengthen strengthening strong success successful tremendous win
72,0001104659-15-003332,INTERNATIONAL,20150120,2015-01-20,8-K,adverse against break closed collapse concern conciliation critical curtail curtailment curtailments cut decline declined deter disclose disclosed discontinue discontinued divest divested divestiture divestitures downturn easing erred fail failure fined fines force ill impair impairment imperative inconsistent ineffective insolvency lack lapse late lie lose loss losses lying miss overage pled quit restructuring sever solvency taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could differ fluctuation fluctuations intangible may nearly pending revise risk risks uncertain uncertainties,able achieve achieved alliance alliances attractive benefit better effective efficiency enable enables encourages gain gains good improve improves innovation invent inventor opportunities progress satisfy strength strengthen strengthens strong success successful successfully transparency win
73,0000950157-17-000703,INTERNATIONAL,20170522,2017-05-22,8-K,adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cancellation cease claims closed closure collapse concern conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack lapse late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed question questions quit refusal reparation sever solvency sue sued suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable unpaid,alteration assume assumed believe conditional could depend dependent differ may pending possible preliminary sometime sometimes variation varied vary,able adequately beneficial benefit best charitable conclusive effective enable enabling gain gains good great greater leading satisfaction satisfactory satisfied satisfy stabilization strong succeed success win
74,0001104659-17-003378,INTERNATIONAL,20170120,2017-01-20,8-K,break challenge challenges claims closed closure collapse concern conciliation conciliations critical cut decline declined declines declining disaster drag fined force ill imperative incident lapse late lie lose losing lying miss plea pleas poses problem problems question questions quit sever sue sues suing,almost approximate approximately assume assumed assumption assumptions believe believes could depend depending differ may nearly pending predict predicted risk tending variable,able achieve achieved advantage benefit benefitting best better collaborating collaboration collaborations confident effective efficiencies enable encourages gain good great greater ideal improve improvement improvements improving innovate innovating innovation invent invention leading opportunities opportunity premier progress satisfy solving strength strengthen strengthening strong stronger success successful transparency tremendous unmatched win
75,0000950157-16-001614,INTERNATIONAL,20160218,2016-02-18,8-K,absence adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cease claims closed closure collapse conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred error fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack lapse late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed postponement question questions quit refusal reparation sever solvency sue sued sues suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable,appear appearing appears approximate approximately assume assumed assuming believe conditional depend dependent differ may pending possible preliminary sometime sometimes varied vary,able adequately benefit best charitable conclusive effective enable enabling gain gains good great greater highest leading satisfaction satisfactory satisfied satisfy succeed succeeding success win
76,0001104659-16-112120,INTERNATIONAL,20160418,2016-04-18,8-K,adverse against break closed closing collapse concern conciliation critical curtail curtailment curtailments cut decline deter disclose disclosed disclosing discontinue discontinued downturn easing erred fail failure fined fines force ill imperative ineffective insolvency lack lapse late lie lose losing loss losses lying miss overage plea pleas quit restructuring sever solvency sue sues taint weak weaken weakens weakness,approximate approximately assume assumes assumption assumptions believe believes could differ exposure fluctuation fluctuations intangible intangibles may nearly pending revise revised risk risks uncertain uncertainties,able alliance alliances benefit better effective efficiency enable enabled enables encourages enhance gain gains improve improvement improves innovation opportunities pleased progress resolve satisfy strength strengthen strengthens strong success successful successfully transparency win
77,0001104659-19-019996,INTERNATIONAL,20190404,2019-04-04,8-K,break closure collapse conciliation conciliations cut deter divest divested fined ill lapse late lie lying miss poses,intangible revise revised,able effective encourages satisfy win
78,0001104659-16-092132,INTERNATIONAL,20160128,2016-01-28,8-K,break cancel cancelled cease ceases closed collapse cut deter disclose disclosed ill lack lapse lie lose miss quit termination,,able encourages satisfy win
79,0001104659-17-024159,INTERNATIONAL,20170418,2017-04-18,8-K,adverse against break closed closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut decline declines deter disclose disclosed discontinue discontinued downturn easing erred fail failure fined fines force ill imperative inability inconsistent ineffective insolvency lack lapse late lie lose loss losses lying miss overage plea pleas poses problem problems quit restructuring sever solvency sue sues taint weak weaken weakens weakness,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may pending revise revised risk risks tending uncertain uncertainties,able alliance alliances benefit better effective efficiency enable enables encourages gain gains improve improvement improves innovation opportunities revolutionizing satisfy strength strengthen strengthens strong success successful successfully transparency win
80,0001104659-14-072339,INTERNATIONAL,20141020,2014-10-20,8-K,adverse against break closed collapse concern conciliation critical curtail curtailment curtailments cut deter disappoint disappointed disclose disclosed discontinue discontinued divest divested divestiture divestitures downturn easing erred fail failure fined fines force ill impair impairment imperative ineffective insolvency lack lapse late lie lose loss losses lying miss overage quit restructuring sever slow slowdown solvency taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could differ fluctuation fluctuations intangible may pending revise risk risks uncertain uncertainties,able achieve alliance alliances benefit better effective efficiency enable enables encourages gain gains good improve improves innovation invent inventor leadership opportunities progress satisfy strength strengthen strengthens strong success successful successfully transparency win
81,0001104659-17-045767,INTERNATIONAL,20170719,2017-07-19,8-K,breach breached breaches break challenge challenges closed closure collapse concern conciliation conciliations crime critical cut cybercrime decline declined declines declining easing exploit fined force harm ill imperative incident incidents lag lapse late lie lose losing lying miss persist persists pervasive plea pleas poses question questions quit recall sever taint threat threaten threatening threats,almost anticipate anticipated approximate approximately assumption believe believes could depend dependent depends differ may nearly pending possibility revise revised roughly tending uncertain uncertainty vary,able achieve advances advantage benefit better breakthrough collaborate collaboration effective efficiencies efficiency efficient efficiently enable enabled encourages enhancing gain gained good great improve improved improvement improvements improving innovation invent invention leading opportunities opportunity progress satisfy stable strength strengthen strong success valuable win winning
82,0001104659-17-014851,INTERNATIONAL,20170307,2017-03-07,8-K,break challenge challenges claims closed closure collapse concern conciliation conciliations critical cut deter disclose disclosed divest divested easing error fined fines ill imperative inaccurate incident incidents lag lags lapse late lie lose miss pervasive plea pleas poses problem problems quit termination,approximate approximately assume assumes assumption assumptions believe believes could differ fluctuation fluctuations may pending revise risk sometime sometimes uncertain vary,able achieve alliance best better breakthrough breakthroughs collaborate collaborates collaboration creativity enable enables enabling encourages enhance gain gains improve improved improvement innovation innovations innovative invent invented leadership leading opportunities opportunity profitability revolutionize satisfy solving stable strong strongest unmatched win
83,0001104659-19-019983,INTERNATIONAL,20190404,2019-04-04,8-K,break bridge challenge challenges closed closing collapse cut declining disclose disclosed divest divested divestiture easing fined ill lapse late lie lose losing lying miss plea pleas quit,approximate approximately depend dependent differ revise revised,able achieve advancing attractive attractiveness collaborating collaboration empower enable enabling encourages excited improve improved opportunities perfect satisfaction satisfy smooth win
84,0001104659-18-018788,INTERNATIONAL,20180320,2018-03-20,8-K,break closure collapse concern conciliation cut deter fined ill lapse lie lying miss plea pleas poses,could differ may revise revised,able benefit encourages satisfy win
85,0001104659-18-062556,INTERNATIONAL,20181017,2018-10-17,8-K,break challenge challenges closure collapse concern concerns conciliation conciliations critical cut cyberattack decline declines easing fined force hurt ill imperative inefficiencies lack lapse late lie losing lying miss overcome pervasive plea pleas poses question questions recall sever slow slowed sue sues,could differ may nearly revise revised,able advancing benefit best better collaboration confident despite efficiencies enable enabled encourages enhance enhancement enhancements enhancing exciting gain good great greater improve improved improvement improving innovation innovations innovative invent invention leading opportunity positive progress satisfy strength strengthen strengthening strong stronger strongest success successful win
86,0001104659-18-027750,INTERNATIONAL,20180427,2018-04-27,8-K,break closure collapse cut fined lapse lie lying miss,depend dependent revise revised,able encourages gain gains satisfy win
87,0001104659-15-028716,INTERNATIONAL,20150420,2015-04-20,8-K,adverse against break closed collapse concern conciliation critical curtail curtailment curtailments cut decline deter disclose disclosed discontinue discontinued divest divested divestiture divestitures downturn easing erred fail failure fined fines force ill imperative ineffective insolvency lack lapse late lie lose loss losses lying miss overage quit restructuring sever solvency taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could differ fluctuation fluctuations intangible may pending revise risk risks uncertain uncertainties,able alliance alliances benefit better effective efficiency enable enables encourages gain gains good improve improved improves improving innovation invent inventor opportunities progress satisfy strength strengthen strengthens strong success successful successfully transparency win
88,0001104659-14-085349,INTERNATIONAL,20141208,2014-12-08,8-K,break collapse cut ill lapse late lie miss,,able effective encourages satisfy win
89,0001104659-16-150502,INTERNATIONAL,20161017,2016-10-17,8-K,adverse against break closed closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut decline declined declines deter disclose disclosed discontinue discontinued downturn easing erred fail failure fined fines ill imperative inconsistent ineffective insolvency lack lapse late lie lose loss losses lying miss overage plea pleas quit restructuring sever solvency sue sues taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may pending revise risk risks uncertain uncertainties,able alliance alliances benefit better breakthrough effective efficiency enable enables enabling encourages enhancing gain gains great greatest improve improvement improves innovation leadership opportunities satisfy stability strength strengthen strengthens strong success successful successfully transparency win
90,0001104659-17-003081,INTERNATIONAL,20170119,2017-01-19,8-K,adverse against break closed closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut decline declined declines deter disclose disclosed discontinue discontinued downturn easing erred fail failure fined fines force ill imperative inconsistent ineffective insolvency lack lapse late lie lose loss losses lying miss overage plea pleas poses problem problems quit restructuring sever solvency sue sues taint weak weaken weakens weakness,almost approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may pending revise risk risks uncertain uncertainties,able alliance alliances benefit best better effective efficiency enable enables enabling encourages gain gains improve improved improvement improves innovation leading opportunities opportunity progress satisfy strength strengthen strengthened strengthens strong success successful successfully transparency win
91,0001104659-19-002755,INTERNATIONAL,20190122,2019-01-22,8-K,adverse against break closed closing closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut damage decline defer deter disclose disclosed discontinue discontinued divest divestiture divestitures downturn easing erred fail failure fined fines ill imperative inconsistent ineffective insolvency lack lapse late lie lose loses losing loss losses lying miss negative plea pleas poses quit restructuring sever solvency sue sues taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may pending revise revised risk risks uncertain uncertainties,able advantage alliance alliances benefit better collaboration effective efficiencies efficiency enable enables encourages gain gains improve improves innovation leadership leading opportunities opportunity satisfy strength strengthen strengthens strong success successful successfully transparency unmatched win
92,0001104659-18-064287,INTERNATIONAL,20181029,2018-10-29,8-K,adverse adversely break bridge closed closing closure collapse concern conciliation conciliations cut default delay delayed difficult difficulties disclose disclosed disrupt disruption diversion fail failure fault fined force ill lapse late lie limitation lose losing loss lying miss plea pleas poses prevents sue sued sues suspend taint termination undue unexpected unlawful,anticipate anticipated approximate approximately assume assumes assumption assumptions believe believes could depend dependence differ may predict preliminary revise revised risk risks uncertain uncertainties unexpected,able achieve benefit best collaborating collaboration effective empower empowering enable encourages enhance enhancing great greater incredibly innovation innovations leadership leading opportunities opportunity satisfy strong success successful tremendous win winning
93,0001104659-18-024512,INTERNATIONAL,20180417,2018-04-17,8-K,adverse against break closed closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut damage decline declined deter disclose disclosed discontinue discontinued downturn easing erred fail failure fined fines force ill imperative inconsistent ineffective insolvency lack lapse late lie lose loss losses lying miss negative plea pleas poses quit restructuring sever solvency sue sued sues taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may pending revise revised risk risks uncertain uncertainties,able alliance alliances benefit better effective efficiency enable enables encourages gain gains great greater improve improved improvement improves improving innovation innovative leadership opportunities satisfy strength strengthen strengthens strong success successful successfully transparency win
94,0001104659-17-062532,INTERNATIONAL,20171017,2017-10-17,8-K,adverse against break closed closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut decline declined deter disclose disclosed discontinue discontinued dispute disputes downturn easing erred fail failure fined fines ill imperative inconsistent ineffective insolvency lack lapse late lie litigation lose loss losses lying miss overage pervasive plea pleas poses quit restructuring sever solvency sue sues taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may nearly pending revise revised risk risks roughly uncertain uncertainties,able achieve achieved alliance alliances benefit better breakthrough effective efficiency enable enabled enables encourages enthusiastic favorable gain gains improve improvement improves innovation invent leadership opportunities satisfy strength strengthen strengthens strong success successful successfully transparency win
95,0001104659-16-099908,INTERNATIONAL,20160225,2016-02-25,8-K,break challenge challenges closure collapse conciliation critical cut deter displace dispute disputes divest divestiture force fraud ill lapse late lie malicious miss vulnerabilities,could depend depending differ may nearly pending variable variables vary,able better collaboration collaborations collaborative confident efficiency encourages improve improved improvement innovation innovations invent inventor leadership leading opportunities satisfy strength strengths win
96,0001104659-17-062678,INTERNATIONAL,20171018,2017-10-18,8-K,breach breaches break closure collapse concern conciliation conciliations critical cut decline declined declines deter dispute disputes drastic drastically easing fined force ill imperative incident investigation investigations lag lapse late lie lose losing lying miss pervasive plea pleas poses problem problems question questions quit recall sever termination threat threats weak weaker,almost approximate approximately believe believes could depend differ may nearly pending perhaps possibility predict revise revised risk roughly,able advantage advantages benefit benefitting better collaboration effective efficiency enable enabled enabling encourages enhance enhancement enhancements gain good great ideal improve improved improvement improving invent invented inventing leading opportunities opportunity progress satisfy strength strong stronger success successful unmatched win
97,0001104659-17-024360,INTERNATIONAL,20170419,2017-04-19,8-K,break closed closure collapse concern conciliation conciliations critical cut decline declined declines declining default delay delays easing fault fined force ill imperative lapse late lie lose losing lying miss plea pleas poses problem problems question questions quit recall sever sue sues,approximate approximately assume assumes assumption believe believes could depend differ may nearly pending revise revised,able achieve alliance attain attainment attractive benefit best better collaborating easy effective efficiencies efficiency enable enabling encourages enhance enhanced enhancing exclusive gain good great ideal improve improved improvement improving innovate innovating innovation leading opportunities opportunity progress satisfy stable strength strong strongest success successful win
98,0000950157-14-001275,INTERNATIONAL,20141125,2014-11-25,8-K,adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cease claims closed closure concern conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed question questions quit refusal reparation sever solvency sue sued sues suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable unpaid,assume assumed believe conditional could depend dependent differ may pending possible preliminary sometime sometimes varied vary,able adequately beneficial benefit best charitable conclusive effective enable enabling gain gains good great greater leading satisfaction satisfactory satisfied satisfy succeed success win
99,0001104659-18-074911,INTERNATIONAL,20181227,2018-12-27,8-K,break collapse cut fined ill lapse lie lying miss,revise revised,able effective encourages satisfy valuable win
